utc,filter,pm,lat,lon,device
1407266042,2.5,0.029,37.803133,-122.294405,A
1407266043,2.5,0.028,37.803133,-122.294412,A
1407266044,2.5,0.027,37.803135,-122.294418,A
1407266045,2.5,0.027,37.803137,-122.294423,A
1407266046,2.5,0.028,37.803138,-122.294428,A
1407266047,2.5,0.029,37.803138,-122.294425,A
1407266048,2.5,0.027,37.803123,-122.294408,A
1407266049,2.5,0.026,37.803108,-122.294388,A
1407266050,2.5,0.026,37.803110,-122.294388,A
1407266051,2.5,0.026,37.803113,-122.294390,A
1407266052,2.5,0.027,37.803115,-122.294388,A
1407266053,2.5,0.027,37.803097,-122.294373,A
1407266054,2.5,0.026,37.803087,-122.294363,A
1407266055,2.5,0.027,37.803085,-122.294365,A
1407266056,2.5,0.025,37.803087,-122.294372,A
1407266057,2.5,0.025,37.803088,-122.294385,A
1407266058,2.5,0.026,37.803093,-122.294395,A
1407266059,2.5,0.026,37.803095,-122.294407,A
1407266060,2.5,0.027,37.803100,-122.294410,A
1407266061,2.5,0.028,37.803112,-122.294405,A
1407266062,2.5,0.029,37.803120,-122.294407,A
1407266063,2.5,0.030,37.803123,-122.294405,A
1407266064,2.5,0.028,37.803130,-122.294405,A
1407266065,2.5,0.027,37.803137,-122.294403,A
1407266066,2.5,0.026,37.803140,-122.294408,A
1407266067,2.5,0.027,37.803152,-122.294422,A
1407266068,2.5,0.027,37.803168,-122.294442,A
1407266069,2.5,0.027,37.803202,-122.294460,A
1407266070,2.5,0.026,37.803227,-122.294477,A
1407266071,2.5,0.026,37.803268,-122.294505,A
1407266072,2.5,0.028,37.803308,-122.294522,A
1407266073,2.5,0.028,37.803308,-122.294520,A
1407266074,2.5,0.027,37.803287,-122.294502,A
1407266075,2.5,0.027,37.803272,-122.294490,A
1407266076,2.5,0.026,37.803282,-122.294492,A
1407266077,2.5,0.026,37.803300,-122.294495,A
1407266078,2.5,0.026,37.803318,-122.294512,A
1407266079,2.5,0.027,37.803340,-122.294525,A
1407266080,2.5,0.027,37.803347,-122.294535,A
1407266081,2.5,0.027,37.803358,-122.294542,A
1407266082,2.5,0.026,37.803363,-122.294542,A
1407266083,2.5,0.025,37.803367,-122.294540,A
1407266084,2.5,0.027,37.803363,-122.294528,A
1407266085,2.5,0.027,37.803367,-122.294525,A
1407266086,2.5,0.027,37.803360,-122.294517,A
1407266087,2.5,0.031,37.803345,-122.294493,A
1407266088,2.5,0.030,37.803348,-122.294490,A
1407266089,2.5,0.028,37.803358,-122.294505,A
1407266090,2.5,0.026,37.803357,-122.294510,A
1407266091,2.5,0.027,37.803347,-122.294505,A
1407266092,2.5,0.027,37.803333,-122.294492,A
1407266093,2.5,0.027,37.803320,-122.294482,A
1407266094,2.5,0.026,37.803308,-122.294477,A
1407266095,2.5,0.026,37.803295,-122.294472,A
1407266096,2.5,0.026,37.803285,-122.294470,A
1407266097,2.5,0.026,37.803277,-122.294468,A
1407266098,2.5,0.026,37.803263,-122.294468,A
1407266099,2.5,0.025,37.803247,-122.294458,A
1407266100,2.5,0.025,37.803237,-122.294443,A
1407266101,2.5,0.026,37.803223,-122.294420,A
1407266102,2.5,0.025,37.803212,-122.294403,A
1407266103,2.5,0.025,37.803203,-122.294382,A
1407266104,2.5,0.026,37.803202,-122.294367,A
1407266105,2.5,0.027,37.803217,-122.294373,A
1407266106,2.5,0.026,37.803222,-122.294372,A
1407266107,2.5,0.027,37.803222,-122.294368,A
1407266108,2.5,0.026,37.803205,-122.294375,A
1407266109,2.5,0.026,37.803187,-122.294378,A
1407266110,2.5,0.025,37.803185,-122.294373,A
1407266111,2.5,0.024,37.803193,-122.294370,A
1407266112,2.5,0.024,37.803208,-122.294378,A
1407266113,2.5,0.025,37.803220,-122.294388,A
1407266114,2.5,0.026,37.803240,-122.294402,A
1407266115,2.5,0.025,37.803227,-122.294397,A
1407266116,2.5,0.025,37.803217,-122.294393,A
1407266117,2.5,0.025,37.803220,-122.294395,A
1407266118,2.5,0.024,37.803225,-122.294400,A
1407266119,2.5,0.025,37.803242,-122.294408,A
1407266120,2.5,0.027,37.803248,-122.294415,A
1407266121,2.5,0.026,37.803218,-122.294392,A
1407266122,2.5,0.025,37.803147,-122.294328,A
1407266123,2.5,0.024,37.803132,-122.294325,A
1407266124,2.5,0.024,37.803165,-122.294348,A
1407266125,2.5,0.023,37.803167,-122.294347,A
1407266126,2.5,0.026,37.803162,-122.294343,A
1407266127,2.5,0.027,37.803153,-122.294343,A
1407266128,2.5,0.026,37.803145,-122.294338,A
1407266129,2.5,0.025,37.803130,-122.294318,A
1407266130,2.5,0.026,37.803128,-122.294308,A
1407266131,2.5,0.025,37.803122,-122.294310,A
1407266132,2.5,0.026,37.803122,-122.294333,A
1407266133,2.5,0.027,37.803123,-122.294353,A
1407266134,2.5,0.026,37.803125,-122.294368,A
1407266135,2.5,0.025,37.803127,-122.294380,A
1407266136,2.5,0.026,37.803127,-122.294390,A
1407266137,2.5,0.026,37.803125,-122.294398,A
1407266138,2.5,0.028,37.803127,-122.294400,A
1407266139,2.5,0.027,37.803125,-122.294403,A
1407266140,2.5,0.026,37.803128,-122.294398,A
1407266141,2.5,0.025,37.803117,-122.294393,A
1407266142,2.5,0.026,37.803115,-122.294397,A
1407266143,2.5,0.028,37.803113,-122.294398,A
1407266144,2.5,0.027,37.803113,-122.294400,A
1407266145,2.5,0.026,37.803108,-122.294395,A
1407266146,2.5,0.026,37.803102,-122.294382,A
1407266147,2.5,0.026,37.803093,-122.294370,A
1407266148,2.5,0.025,37.803072,-122.294372,A
1407266149,2.5,0.027,37.803063,-122.294367,A
1407266150,2.5,0.028,37.803058,-122.294355,A
1407266151,2.5,0.028,37.803050,-122.294348,A
1407266152,2.5,0.028,37.803042,-122.294342,A
1407266153,2.5,0.027,37.803045,-122.294332,A
1407266154,2.5,0.029,37.803043,-122.294323,A
1407266155,2.5,0.030,37.803042,-122.294318,A
1407266156,2.5,0.028,37.803042,-122.294317,A
1407266157,2.5,0.027,37.803043,-122.294307,A
1407266158,2.5,0.027,37.803043,-122.294308,A
1407266159,2.5,0.027,37.803043,-122.294310,A
1407266160,2.5,0.029,37.803038,-122.294308,A
1407266161,2.5,0.027,37.803033,-122.294307,A
1407266162,2.5,0.026,37.803018,-122.294295,A
1407266163,2.5,0.027,37.803002,-122.294292,A
1407266164,2.5,0.027,37.802982,-122.294275,A
