utc,filter,pm,lat,lon,device
1405626168,10,0.009,37.802968,-122.294503,A
1405626169,10,0.008,37.802940,-122.294492,A
1405626170,10,0.008,37.802923,-122.294482,A
1405626171,10,0.008,37.802915,-122.294472,A
1405626172,10,0.008,37.802903,-122.294483,A
1405626173,10,0.008,37.802883,-122.294495,A
1405626174,10,0.009,37.802867,-122.294500,A
1405626175,10,0.009,37.802843,-122.294495,A
1405626176,10,0.008,37.802847,-122.294507,A
1405626177,10,0.007,37.802862,-122.294502,A
1405626178,10,0.008,37.802858,-122.294510,A
1405626179,10,0.009,37.802850,-122.294512,A
1405626180,10,0.009,37.802828,-122.294518,A
1405626181,10,0.008,37.802830,-122.294535,A
1405626182,10,0.009,37.802800,-122.294540,A
1405626183,10,0.009,37.802800,-122.294540,A
1405626184,10,0.009,37.802780,-122.294543,A
1405626185,10,0.008,37.802767,-122.294545,A
1405626186,10,0.009,37.802760,-122.294548,A
1405626187,10,0.008,37.802755,-122.294548,A
1405626188,10,0.009,37.802753,-122.294547,A
1405626189,10,0.008,37.802747,-122.294547,A
1405626190,10,0.009,37.802748,-122.294548,A
1405626191,10,0.009,37.802745,-122.294545,A
1405626192,10,0.010,37.802732,-122.294543,A
1405626193,10,0.009,37.802720,-122.294550,A
1405626194,10,0.008,37.802710,-122.294550,A
1405626195,10,0.009,37.802697,-122.294543,A
1405626196,10,0.009,37.802685,-122.294545,A
1405626197,10,0.008,37.802667,-122.294538,A
1405626198,10,0.008,37.802667,-122.294538,A
1405626199,10,0.008,37.802647,-122.294528,A
1405626200,10,0.008,37.802628,-122.294527,A
1405626201,10,0.008,37.802612,-122.294530,A
1405626202,10,0.009,37.802603,-122.294532,A
1405626203,10,0.009,37.802597,-122.294532,A
1405626204,10,0.009,37.802600,-122.294542,A
1405626205,10,0.009,37.802598,-122.294555,A
1405626206,10,0.009,37.802583,-122.294567,A
1405626207,10,0.009,37.802573,-122.294580,A
1405626208,10,0.009,37.802573,-122.294593,A
1405626209,10,0.009,37.802580,-122.294603,A
1405626210,10,0.008,37.802580,-122.294613,A
1405626211,10,0.009,37.802577,-122.294623,A
1405626212,10,0.009,37.802582,-122.294638,A
1405626213,10,0.008,37.802580,-122.294653,A
1405626214,10,0.008,37.802590,-122.294670,A
1405626215,10,0.009,37.802583,-122.294677,A
1405626216,10,0.009,37.802587,-122.294690,A
